term,E,P,A,E2,P2,A2
smirk at,1.51,0.68,-0.63,1.51,0.68,-0.63
snarl at,-1.04,0.03,1.24,-1.04,0.03,1.24
snuggle,0.42,0.20,-1.42,0.42,0.20,-1.42
sock,-2.40,-0.67,2.12,-2.40,-0.67,2.12
soothe,1.50,1.13,-1.23,1.50,1.13,-1.23
sound out,1.64,0.95,-1.02,1.64,0.95,-1.02
spank,-1.39,-0.85,1.47,-1.39,-0.85,1.47
squeeze,-1.12,-0.45,1.09,-1.12,-0.45,1.09
stab,-2.58,-1.44,1.72,-2.58,-1.44,1.72
stammer at,-1.83,-1.56,0.09,-1.83,-1.56,0.09
stare at,-1.20,-0.45,0.42,-1.20,-0.45,0.42
stare down,-0.58,-0.61,0.17,-0.58,-0.61,0.17
steal from,-2.33,-1.48,1.16,-2.33,-1.48,1.16
stop,-0.36,0.38,0.12,-0.36,0.38,0.12
strangle,-2.65,-0.53,1.19,-2.65,-0.53,1.19
strip,-1.57,-0.65,1.19,-1.57,-0.65,1.19
stroke,1.17,0.25,-0.88,1.17,0.25,-0.88
subdue,-2.11,-1.24,1.26,-2.11,-1.24,1.26
submit to,-1.24,-1.72,-0.51,-1.24,-1.72,-0.51
suck up to,-2.27,-1.36,0.05,-2.27,-1.36,0.05
sue,0.40,0.90,0.34,0.40,0.90,0.34
suggest something to,1.78,1.18,-0.41,1.78,1.18,-0.41
surprise,1.36,0.96,0.27,1.36,0.96,0.27
sympathize with,1.93,1.39,-1.23,1.93,1.39,-1.23
tackle,-0.39,0.59,1.54,-0.39,0.59,1.54
talk shop with,1.46,0.72,-0.61,1.46,0.72,-0.61
talk to,1.65,0.98,-0.69,1.65,0.98,-0.69
thank,2.37,1.55,-0.80,2.37,1.55,-0.80
threaten,-2.08,-0.53,1.63,-2.08,-0.53,1.63
tickle,0.65,0.28,0.96,0.65,0.28,0.96
toady to,-1.45,-1.02,0.38,-1.45,-1.02,0.38
torment,-2.33,-0.87,1.78,-2.33,-0.87,1.78
torture,-2.55,-1.05,2.16,-2.55,-1.05,2.16
touch,-0.76,-0.44,0.26,-0.76,-0.44,0.26
train,1.57,1.67,-0.32,1.57,1.67,-0.32
transact business with,1.22,0.87,-0.61,1.22,0.87,-0.61
treat,2.03,1.06,-0.74,2.03,1.06,-0.74
tug,-0.96,0.28,1.19,-0.96,0.28,1.19
turn to,1.71,0.37,-1.08,1.71,0.37,-1.08
underpay,-1.82,-1.36,1.05,-1.82,-1.36,1.05
undress,-2.02,-0.93,1.31,-2.02,-0.93,1.31
warn,1.51,1.12,-0.18,1.51,1.12,-0.18
wash,1.90,1.19,-0.51,1.90,1.19,-0.51
watch,0.30,-0.06,-0.32,0.30,-0.06,-0.32
welcome,2.42,1.49,-0.70,2.42,1.49,-0.70
whip,-2.08,-0.38,1.88,-2.08,-0.38,1.88
whisper to,-0.38,-0.89,-0.72,-0.38,-0.89,-0.72
wink at,0.29,0.30,-0.02,0.29,0.30,-0.02
work,-1.09,-0.41,0.43,-1.09,-0.41,0.43
wrestle with,-1.68,0.02,1.61,-1.68,0.02,1.61
yield to,-0.77,-0.61,0.28,-0.77,-0.61,0.28
